"tripduration","starttime","stoptime","start station name","end station name"
231,"2018-03-01 08:57:51.6620","2018-03-01 09:01:43.2580","Broadway & W 41 St","Pershing Square North"
220,"2018-03-01 08:58:14.4550","2018-03-01 09:01:54.5790","Broadway & W 41 St","E 41 St & Madison Ave"
444,"2018-03-01 08:59:25.3540","2018-03-01 09:06:49.8230","Broadway & W 41 St","E 30 St & Park Ave S"
475,"2018-03-01 08:59:36.9150","2018-03-01 09:07:32.6630","Broadway & W 41 St","E 45 St & 3 Ave"
816,"2018-03-01 09:00:06.6220","2018-03-01 09:13:43.3070","Broadway & W 41 St","E 16 St & Irving Pl"
744,"2018-03-01 09:01:46.7860","2018-03-01 09:14:11.1480","Broadway & W 41 St","W 16 St & 8 Ave"
579,"2018-03-01 09:01:49.8250","2018-03-01 09:11:29.0390","Broadway & W 41 St","E 39 St & 3 Ave"
484,"2018-03-01 09:02:27.5770","2018-03-01 09:10:32.1470","Broadway & W 41 St","E 48 St & 3 Ave"
428,"2018-03-01 09:03:57.3240","2018-03-01 09:11:05.5630","Broadway & W 41 St","W 52 St & 5 Ave"
613,"2018-03-01 09:03:57.9420","2018-03-01 09:14:11.7540","Broadway & W 41 St","E 55 St & 3 Ave"
465,"2018-03-01 09:04:38.9130","2018-03-01 09:12:24.7840","Broadway & W 41 St","Broadway & W 25 St"
370,"2018-03-01 09:05:00.0160","2018-03-01 09:11:10.7570","Broadway & W 41 St","5 Ave & E 29 St"
723,"2018-03-01 09:06:29.0450","2018-03-01 09:18:32.7950","Broadway & W 41 St","E 58 St & Madison Ave"
232,"2018-03-01 09:06:44.1060","2018-03-01 09:10:36.3340","Broadway & W 41 St","Pershing Square North"
277,"2018-03-01 09:07:17.7260","2018-03-01 09:11:55.0700","Broadway & W 41 St","W 52 St & 6 Ave"
427,"2018-03-01 09:07:26.0490","2018-03-01 09:14:34.0290","Broadway & W 41 St","E 48 St & 3 Ave"
615,"2018-03-01 09:08:44.5190","2018-03-01 09:18:59.7440","Broadway & W 41 St","1 Ave & E 44 St"
250,"2018-03-01 09:11:09.5950","2018-03-01 09:15:19.6560","Broadway & W 41 St","Pershing Square South"
521,"2018-03-01 09:11:22.7340","2018-03-01 09:20:04.2570","Broadway & W 41 St","E 44 St & 2 Ave"
230,"2018-03-01 09:11:32.0800","2018-03-01 09:15:22.2580","Broadway & W 41 St","W 44 St & 5 Ave"
